sale_id,date,month,weekday,branch_id,branch_name,department,product_id,product_name,category,unit_price,discount,final_price,quantity,total,payment_method,customer_id,cost_usd,margin_usd,margin_total,margin_pct,budget_usd,variance,achievement_pct,status,total_payroll,headcount,revenue_per_employee,payroll_ratio,efficiency_status,target_category,investment_usd,roi_pct_adjusted,num_campaigns
1,2024-05-20,5,Monday,1,San Salvador Centro,San Salvador,4,Yuca frita,Traditional Food,2.5,0.0,2.5,8,20.0,Cash,53,1.2,1.3,10.4,52.0,21600,-7478.849999999997,0.653756944444444,🔴 Below Target,1630,3,4707.050000000001,0.11542969234092122,🟡 Medium,Traditional Food,1950,0.531975128205128,3
2,2024-10-29,10,Tuesday,2,Santa Ana,Santa Ana,18,Curtido en frasco,Groceries,2.0,0.0,2.0,14,28.0,Cash,112,0.9,1.1,15.400000000000002,55.00000000000001,19200,-5584.200000000003,0.70915625,🟡 At Risk,1630,3,4538.599999999999,0.11971386183698353,🟡 Medium,Groceries,350,2.290714285714286,1
3,2024-10-14,10,Monday,1,San Salvador Centro,San Salvador,8,Fresco de tamarindo,Beverages,0.75,0.1,0.68,7,4.76,Debit card,280,0.3,0.45,3.15,60.0,21600,-7478.849999999997,0.653756944444444,🔴 Below Target,1630,3,4707.050000000001,0.11542969234092122,🟡 Medium,Beverages,500,1.2037333333333333,2
4,2024-08-17,8,Saturday,4,Soyapango,San Salvador,14,Frijoles rojos 1lb,Groceries,1.2,0.0,1.2,19,22.8,Credit card,4,0.65,0.5499999999999999,10.45,45.83333333333333,19200,-7206.970000000003,0.624636979166666,🔴 Below Target,1630,3,3997.676666666666,0.13591227571347694,🔴 Low,Groceries,350,2.290714285714286,1
5,2024-06-23,6,Sunday,7,La Libertad,La Libertad,6,Kolachampán,Beverages,0.75,0.0,0.75,9,6.75,Cash,391,0.35,0.4,3.6,53.333333333333336,16800,-6134.490000000002,0.634851785714286,🔴 Below Target,1630,3,3555.1699999999996,0.15282907240253868,🔴 Low,Beverages,500,1.2037333333333333,2
6,2024-02-17,2,Saturday,2,Santa Ana,Santa Ana,11,Jarrito de barro,Handicrafts,8.0,0.0,8.0,13,104.0,Cash,177,3.5,4.5,58.5,56.25,19200,-5584.200000000003,0.70915625,🟡 At Risk,1630,3,4538.599999999999,0.11971386183698353,🟡 Medium,Handicrafts,2250,2.939564814814815,3
7,2024-08-23,8,Friday,1,San Salvador Centro,San Salvador,9,Camisa guayabera,Clothing,18.0,0.0,18.0,18,324.0,Transfer,194,9.0,9.0,162.0,50.0,21600,-7478.849999999997,0.653756944444444,🔴 Below Target,1630,3,4707.050000000001,0.11542969234092122,🟡 Medium,Clothing,400,0.89325,1
8,2024-11-17,11,Sunday,5,Metrocentro,San Salvador,3,Tamales de elote,Traditional Food,1.0,0.15,0.85,20,17.0,Cash,99,0.55,0.44999999999999996,9.0,44.99999999999999,20400,-7248.4400000000005,0.64468431372549,🔴 Below Target,1630,3,4383.8533333333335,0.12393966951449106,🟡 Medium,Traditional Food,1950,0.531975128205128,3
9,2024-12-04,12,Wednesday,1,San Salvador Centro,San Salvador,3,Tamales de elote,Traditional Food,1.0,0.15,0.85,8,6.8,Cash,41,0.55,0.44999999999999996,3.5999999999999996,44.99999999999999,21600,-7478.849999999997,0.653756944444444,🔴 Below Target,1630,3,4707.050000000001,0.11542969234092122,🟡 Medium,Traditional Food,1950,0.531975128205128,3
10,2024-07-13,7,Saturday,2,Santa Ana,Santa Ana,8,Fresco de tamarindo,Beverages,0.75,0.0,0.75,9,6.75,Debit card,187,0.3,0.45,4.05,60.0,19200,-5584.200000000003,0.70915625,🟡 At Risk,1630,3,4538.599999999999,0.11971386183698353,🟡 Medium,Beverages,500,1.2037333333333333,2
