sale_id,date,month,weekday,branch_id,branch_name,department,product_id,product_name,category,unit_price,discount,final_price,quantity,total,payment_method,customer_id
1,2024-05-20,5,Monday,1,San Salvador Centro,San Salvador,4,Yuca frita,Traditional Food,2.5,0.0,2.5,8,20.0,Cash,53
2,2024-10-29,10,Tuesday,2,Santa Ana,Santa Ana,18,Curtido en frasco,Groceries,2.0,0.0,2.0,14,28.0,Cash,112
3,2024-10-14,10,Monday,1,San Salvador Centro,San Salvador,8,Fresco de tamarindo,Beverages,0.75,0.1,0.68,7,4.76,Debit card,280
4,2024-08-17,8,Saturday,4,Soyapango,San Salvador,14,Frijoles rojos 1lb,Groceries,1.2,0.0,1.2,19,22.8,Credit card,4
5,2024-06-23,6,Sunday,7,La Libertad,La Libertad,6,Kolachampán,Beverages,0.75,0.0,0.75,9,6.75,Cash,391
6,2024-02-17,2,Saturday,2,Santa Ana,Santa Ana,11,Jarrito de barro,Handicrafts,8.0,0.0,8.0,13,104.0,Cash,177
7,2024-08-23,8,Friday,1,San Salvador Centro,San Salvador,9,Camisa guayabera,Clothing,18.0,0.0,18.0,18,324.0,Transfer,194
8,2024-11-17,11,Sunday,5,Metrocentro,San Salvador,3,Tamales de elote,Traditional Food,1.0,0.15,0.85,20,17.0,Cash,99
9,2024-12-04,12,Wednesday,1,San Salvador Centro,San Salvador,3,Tamales de elote,Traditional Food,1.0,0.15,0.85,8,6.8,Cash,41
10,2024-07-13,7,Saturday,2,Santa Ana,Santa Ana,8,Fresco de tamarindo,Beverages,0.75,0.0,0.75,9,6.75,Debit card,187
11,2024-06-30,6,Sunday,6,Usulután,Usulután,6,Kolachampán,Beverages,0.75,0.1,0.68,7,4.76,Cash,480
12,2024-09-30,9,Monday,3,San Miguel,San Miguel,3,Tamales de elote,Traditional Food,1.0,0.0,1.0,8,8.0,Cash,139
13,2024-12-16,12,Monday,4,Soyapango,San Salvador,18,Curtido en frasco,Groceries,2.0,0.15,1.7,11,18.7,Credit card,29
14,2024-06-10,6,Monday,1,San Salvador Centro,San Salvador,8,Fresco de tamarindo,Beverages,0.75,0.0,0.75,13,9.75,Cash,468
15,2024-12-01,12,Sunday,4,Soyapango,San Salvador,11,Jarrito de barro,Handicrafts,8.0,0.0,8.0,16,128.0,Credit card,330
16,2024-05-15,5,Wednesday,3,San Miguel,San Miguel,15,Arroz blanco 1lb,Groceries,0.9,0.0,0.9,5,4.5,Debit card,276
17,2024-10-25,10,Friday,7,La Libertad,La Libertad,9,Camisa guayabera,Clothing,18.0,0.0,18.0,13,234.0,Cash,71
18,2024-02-16,2,Friday,8,Chalatenango,Chalatenango,17,Queso duro blando,Dairy,3.5,0.15,2.98,2,5.96,Cash,322
19,2024-11-01,11,Friday,7,La Libertad,La Libertad,6,Kolachampán,Beverages,0.75,0.0,0.75,3,2.25,Cash,240
20,2024-10-10,10,Thursday,5,Metrocentro,San Salvador,17,Queso duro blando,Dairy,3.5,0.1,3.15,1,3.15,Debit card,350
21,2024-11-24,11,Sunday,5,Metrocentro,San Salvador,18,Curtido en frasco,Groceries,2.0,0.0,2.0,11,22.0,Cash,81
22,2024-05-14,5,Tuesday,1,San Salvador Centro,San Salvador,15,Arroz blanco 1lb,Groceries,0.9,0.15,0.77,17,13.09,Cash,468
23,2024-11-23,11,Saturday,5,Metrocentro,San Salvador,4,Yuca frita,Traditional Food,2.5,0.05,2.38,17,40.46,Cash,192
24,2024-11-02,11,Saturday,1,San Salvador Centro,San Salvador,6,Kolachampán,Beverages,0.75,0.0,0.75,11,8.25,Cash,476
25,2024-05-02,5,Thursday,5,Metrocentro,San Salvador,12,Canasta de palma,Handicrafts,12.0,0.0,12.0,2,24.0,Credit card,485
26,2024-09-05,9,Thursday,2,Santa Ana,Santa Ana,3,Tamales de elote,Traditional Food,1.0,0.15,0.85,3,2.55,Debit card,65
27,2024-10-08,10,Tuesday,8,Chalatenango,Chalatenango,5,Atol de elote,Beverages,1.0,0.0,1.0,6,6.0,Debit card,311
28,2024-10-03,10,Thursday,4,Soyapango,San Salvador,14,Frijoles rojos 1lb,Groceries,1.2,0.1,1.08,7,7.56,Cash,344
29,2024-09-21,9,Saturday,8,Chalatenango,Chalatenango,12,Canasta de palma,Handicrafts,12.0,0.0,12.0,15,180.0,Cash,33
30,2024-10-28,10,Monday,1,San Salvador Centro,San Salvador,11,Jarrito de barro,Handicrafts,8.0,0.0,8.0,18,144.0,Debit card,4
31,2024-04-27,4,Saturday,1,San Salvador Centro,San Salvador,3,Tamales de elote,Traditional Food,1.0,0.0,1.0,3,3.0,Credit card,37
32,2024-05-22,5,Wednesday,4,Soyapango,San Salvador,17,Queso duro blando,Dairy,3.5,0.0,3.5,16,56.0,Debit card,371
33,2024-08-30,8,Friday,4,Soyapango,San Salvador,16,Crema salvadoreña,Dairy,1.5,0.0,1.5,14,21.0,Cash,338
34,2024-08-04,8,Sunday,6,Usulután,Usulután,14,Frijoles rojos 1lb,Groceries,1.2,0.0,1.2,14,16.8,Credit card,28
35,2024-07-25,7,Thursday,1,San Salvador Centro,San Salvador,4,Yuca frita,Traditional Food,2.5,0.15,2.12,11,23.32,Credit card,128
36,2024-10-01,10,Tuesday,4,Soyapango,San Salvador,7,Café salvadoreño,Beverages,1.5,0.0,1.5,15,22.5,Cash,143
37,2024-02-08,2,Thursday,4,Soyapango,San Salvador,15,Arroz blanco 1lb,Groceries,0.9,0.15,0.77,15,11.55,Credit card,282
38,2024-11-29,11,Friday,1,San Salvador Centro,San Salvador,4,Yuca frita,Traditional Food,2.5,0.15,2.12,18,38.16,Cash,48
39,2024-07-27,7,Saturday,3,San Miguel,San Miguel,8,Fresco de tamarindo,Beverages,0.75,0.0,0.75,16,12.0,Cash,206
40,2024-07-13,7,Saturday,3,San Miguel,San Miguel,2,Pupusas de frijol,Traditional Food,0.5,0.0,0.5,1,0.5,Cash,402
41,2024-08-04,8,Sunday,5,Metrocentro,San Salvador,15,Arroz blanco 1lb,Groceries,0.9,0.1,0.81,18,14.58,Debit card,80
42,2024-04-21,4,Sunday,5,Metrocentro,San Salvador,7,Café salvadoreño,Beverages,1.5,0.05,1.42,2,2.84,Debit card,32
